old version;new version
HOM03D009182;3;2
HOM03D016937;2;1
HOM03D000504;3;2
HOM03D000598;5;4
HOM03D002934;2;1
HOM03D002007;2;1
HOM03D001678;3;2
HOM03D002978;2;1
HOM03D001560;3;2
HOM03D001781;4;3
HOM03D002143;3;2
HOM03D000616;5;4
HOM03D000624;4;3
HOM03D002571;4;3
HOM03D010955;5;3
HOM03D000316;9;7
HOM03D001885;3;2
HOM03D002990;2;1
HOM03D000770;3;2
HOM03D000842;3;2
HOM03D001005;4;3
HOM03D001078;4;3
HOM03D002554;2;1
HOM03D003082;3;2
HOM03D000950;1;2
HOM03D001836;4;3
HOM03D000430;5;3
HOM03D001698;4;3
HOM03D000333;5;4
HOM03D001367;2;1
HOM03D000508;5;4
HOM03D008568;2;1
HOM03D001132;4;2
HOM03D000468;5;3
HOM03D004703;5;4
HOM03D002409;2;1
HOM03D017653;3;2
HOM03D002203;2;1
HOM03D002352;2;1
HOM03D002142;3;2
HOM03D000777;6;4
HOM03D001026;2;1
HOM03D011498;3;2
HOM03D000514;4;3
HOM03D000584;4;3
HOM03D004561;2;1
HOM03D000413;7;6
HOM03D002124;2;1
HOM03D008006;2;1
HOM03D005529;2;1
HOM03D001518;4;2
HOM03D000560;3;2
HOM03D003342;3;2
HOM03D005281;3;2
HOM03D001727;4;3
HOM03D002410;2;1
HOM03D000804;3;2
HOM03D001707;4;3
HOM03D000341;4;3
HOM03D001556;5;4
HOM03D000791;3;4
HOM03D000670;3;2
HOM03D002975;2;1
HOM03D002234;3;2
HOM03D005332;3;2
HOM03D001472;5;4
HOM03D000489;5;4
HOM03D000453;5;4
HOM03D001881;3;2
HOM03D002187;4;3
HOM03D002160;3;2
HOM03D000455;5;4
HOM03D016110;2;1
HOM03D000905;3;2
HOM03D001030;4;3
HOM03D002216;2;1
HOM03D000798;7;5
HOM03D007912;6;5
HOM03D003533;2;1
HOM03D002739;2;1
HOM03D000850;3;2
HOM03D002818;3;2
HOM03D003065;2;1
HOM03D002535;2;1
HOM03D001476;4;3
HOM03D003044;3;2
HOM03D000483;4;2
HOM03D000490;4;3
HOM03D000549;4;3
HOM03D002804;3;2
HOM03D002465;2;1
HOM03D004198;1;2
HOM03D003213;2;3
HOM03D007449;1;2
HOM03D003631;2;1
HOM03D001558;3;2
HOM03D001611;3;2
HOM03D001450;3;2
HOM03D001634;1;2
HOM03D000440;4;3
HOM03D002384;2;1
HOM03D000890;4;3
HOM03D003951;2;1
HOM03D000717;5;3
HOM03D003160;2;1
HOM03D001515;2;1
HOM03D011797;3;2
HOM03D004040;2;1
HOM03D000883;3;2
HOM03D000506;3;2
HOM03D000501;3;2
HOM03D001180;3;2
HOM03D003451;2;3
HOM03D000603;3;2
HOM03D002041;4;2
HOM03D002192;3;2
HOM03D000443;3;2
HOM03D002004;2;1
HOM03D001545;3;2
HOM03D001632;3;2
HOM03D002149;2;1
HOM03D005303;3;2
HOM03D004516;2;1
HOM03D000638;4;3
HOM03D000561;5;4
HOM03D001236;5;4
HOM03D001057;4;3
HOM03D000802;4;3
HOM03D001381;3;2
HOM03D000930;7;6
HOM03D001362;3;2
HOM03D004113;3;2
HOM03D002359;2;1
HOM03D000844;5;4
HOM03D008023;4;3
HOM03D002694;2;1
HOM03D002521;2;1
HOM03D000568;3;2
HOM03D001378;4;3
HOM03D000689;5;4
HOM03D002669;3;2
HOM03D002198;2;1
HOM03D000606;3;2
HOM03D000260;5;3
HOM03D001359;2;1
HOM03D001117;3;2
HOM03D002175;2;1
HOM03D003318;2;1
HOM03D002333;3;2
HOM03D001540;3;2
HOM03D000583;3;2
HOM03D002313;4;3
HOM03D000703;4;3
HOM03D001018;3;2
HOM03D002188;3;2
HOM03D022579;2;1
HOM03D000753;5;3
HOM03D003493;2;1
HOM03D002237;3;2
HOM03D001251;2;1
HOM03D022801;2;1
HOM03D001831;2;1
HOM03D000993;4;3
HOM03D000981;3;2
HOM03D001160;7;6
HOM03D001774;3;2
HOM03D003651;2;1
HOM03D004172;2;1
HOM03D003910;2;1
HOM03D000579;3;2
HOM03D003332;2;1
HOM03D000927;3;2
HOM03D001578;3;2
HOM03D002967;3;2
HOM03D001339;5;3
HOM03D002711;2;1
HOM03D002583;2;1
HOM03D001036;4;3
HOM03D002546;2;1
HOM03D000848;4;3
HOM03D002081;3;2
HOM03D002386;3;2
HOM03D001775;3;2
HOM03D002180;3;2
HOM03D002073;5;4
HOM03D002510;2;1
HOM03D004416;1;2
HOM03D000552;3;2
HOM03D003856;2;1
HOM03D000477;4;2
HOM03D005899;2;1
HOM03D000498;4;3
HOM03D000646;6;5
HOM03D007586;4;3
HOM03D002082;3;2
HOM03D001343;5;4
HOM03D001833;2;1
HOM03D002629;3;2
HOM03D001112;2;1
HOM03D001449;2;1
HOM03D003072;3;2
HOM03D000273;4;3
HOM03D000564;4;2
HOM03D012805;2;1
HOM03D001429;3;2
HOM03D004061;2;1
HOM03D001574;2;1
HOM03D000756;3;2
HOM03D000948;4;3
HOM03D000810;4;3
HOM03D000500;6;5
HOM03D004297;3;2
HOM03D001238;3;2
HOM03D001306;5;4
HOM03D002369;3;2
HOM03D007656;3;2
HOM03D001014;3;2
HOM03D000757;5;4
HOM03D001382;3;2
HOM03D000576;6;3
HOM03D000371;2;1
HOM03D001016;3;2
HOM03D001669;3;2
HOM03D002913;2;1
HOM03D000891;4;3
HOM03D001043;5;4
HOM03D003335;2;1
